DateTime,Media Temperatura,Temperatura Intervallo,Temperatura Intervallo,Media Umidità
DateTime,Media Temperatura,low,high,Media Umidità
30.07.2024 12:00:00,3498,348,351,3538
30.07.2024 13:00:00,3508,348,353,3389
30.07.2024 14:00:00,3514,348,355,3349
30.07.2024 15:00:00,344,339,348,3522
30.07.2024 16:00:00,3311,326,34,353
30.07.2024 17:00:00,3218,315,327,3467
30.07.2024 18:00:00,298,281,312,3826
30.07.2024 19:00:00,2723,266,278,4187
30.07.2024 20:00:00,2548,248,263,4615
30.07.2024 21:00:00,2397,23,248,5417
30.07.2024 22:00:00,2243,223,227,6264
30.07.2024 23:00:00,2235,221,227,6417
31.07.2024 00:00:00,2281,224,232,6345
31.07.2024 01:00:00,2167,212,222,6749
31.07.2024 02:00:00,2125,211,215,6879
31.07.2024 03:00:00,2071,205,209,7113
31.07.2024 04:00:00,2033,202,204,728
31.07.2024 05:00:00,2131,203,221,712
31.07.2024 06:00:00,2395,223,258,6455
31.07.2024 07:00:00,2823,262,303,5247
31.07.2024 08:00:00,3209,307,332,4221
31.07.2024 09:00:00,3377,331,346,3765
31.07.2024 10:00:00,3507,341,359,3543
31.07.2024 11:00:00,3674,361,376,3278
31.07.2024 12:00:00,3742,371,378,3203
31.07.2024 13:00:00,3814,378,384,3102
31.07.2024 14:00:00,3828,38,387,3131
31.07.2024 15:00:00,3825,381,385,3128
31.07.2024 16:00:00,364,348,378,3455
31.07.2024 17:00:00,3372,327,345,4001
31.07.2024 18:00:00,3095,296,323,464
31.07.2024 19:00:00,2825,27,293,5302
31.07.2024 20:00:00,2585,253,266,6299
31.07.2024 21:00:00,2444,239,251,682
31.07.2024 22:00:00,2385,235,241,6168
31.07.2024 23:00:00,2293,226,236,6097
01.08.2024 00:00:00,2377,229,241,5579
01.08.2024 01:00:00,2291,225,238,5966
01.08.2024 02:00:00,2392,226,25,5623
01.08.2024 03:00:00,2475,241,251,5515
01.08.2024 04:00:00,2412,237,249,5985
01.08.2024 05:00:00,2377,235,243,6453
01.08.2024 06:00:00,2631,246,28,5937
01.08.2024 07:00:00,3005,283,317,5042
01.08.2024 08:00:00,3356,322,347,4467
01.08.2024 09:00:00,3508,347,355,4352
01.08.2024 10:00:00,367,357,377,4075
01.08.2024 11:00:00,3806,378,382,3803
01.08.2024 12:00:00,3888,385,393,3411
01.08.2024 13:00:00,3935,39,397,3228
01.08.2024 14:00:00,3915,386,396,3254
01.08.2024 15:00:00,3805,375,384,3383
01.08.2024 16:00:00,3688,358,374,2975
01.08.2024 17:00:00,3493,34,357,2481
01.08.2024 18:00:00,334,325,343,2407
01.08.2024 19:00:00,3136,307,323,2696
01.08.2024 20:00:00,3004,295,306,2953
01.08.2024 21:00:00,2891,283,295,3123
01.08.2024 22:00:00,2691,255,283,5755
01.08.2024 23:00:00,2498,24,256,7493
02.08.2024 00:00:00,2311,226,238,8347
02.08.2024 01:00:00,2234,221,225,8776
02.08.2024 02:00:00,2195,218,222,8944
02.08.2024 03:00:00,2155,209,22,8634
02.08.2024 04:00:00,2054,201,209,8264
02.08.2024 05:00:00,2111,205,218,8585
02.08.2024 06:00:00,2351,22,249,7757
02.08.2024 07:00:00,2698,251,285,6755
02.08.2024 08:00:00,2985,285,315,5652
02.08.2024 09:00:00,3162,311,325,4841
02.08.2024 10:00:00,3345,327,346,4339
02.08.2024 11:00:00,3509,34,357,4054
02.08.2024 12:00:00,3609,354,368,3905
02.08.2024 13:00:00,3679,365,372,3838
02.08.2024 14:00:00,3692,363,373,3833
02.08.2024 15:00:00,332,316,357,4975
02.08.2024 16:00:00,3272,317,334,5433
02.08.2024 17:00:00,3013,292,317,5988
02.08.2024 18:00:00,2855,276,293,6462
02.08.2024 19:00:00,2683,264,274,7055
02.08.2024 20:00:00,256,252,263,7535
02.08.2024 21:00:00,2487,245,253,7676
02.08.2024 22:00:00,2442,242,248,7993
02.08.2024 23:00:00,2415,238,245,818
03.08.2024 00:00:00,2403,237,243,8368
03.08.2024 01:00:00,2368,233,239,8487
03.08.2024 02:00:00,2323,231,233,8731
03.08.2024 03:00:00,2297,228,232,8852
03.08.2024 04:00:00,2308,228,233,8819
03.08.2024 05:00:00,2355,233,243,8809
03.08.2024 06:00:00,2566,245,273,7961
03.08.2024 07:00:00,29,276,303,6566
03.08.2024 08:00:00,3098,302,317,5808
03.08.2024 09:00:00,3129,303,32,5943
03.08.2024 10:00:00,2925,267,321,5785
03.08.2024 11:00:00,2424,226,264,698
03.08.2024 12:00:00,2483,244,256,7053
03.08.2024 13:00:00,2633,255,277,6638
03.08.2024 14:00:00,2859,274,305,5936
03.08.2024 15:00:00,3049,299,31,5072
03.08.2024 16:00:00,3077,304,312,4795
03.08.2024 17:00:00,2933,273,305,5272
03.08.2024 18:00:00,2571,253,266,6374
03.08.2024 19:00:00,2464,238,254,691
03.08.2024 20:00:00,2286,225,236,7635
03.08.2024 21:00:00,2195,215,226,824
03.08.2024 22:00:00,2126,209,215,8595
03.08.2024 23:00:00,2068,204,209,8816
04.08.2024 00:00:00,2084,205,21,8731
04.08.2024 01:00:00,2055,198,211,8723
04.08.2024 02:00:00,1945,193,196,9185
04.08.2024 03:00:00,2003,197,203,8832
04.08.2024 04:00:00,1917,19,196,9112
04.08.2024 05:00:00,2018,192,208,8657
04.08.2024 06:00:00,2217,207,241,8001
04.08.2024 07:00:00,2571,245,282,6699
04.08.2024 08:00:00,2993,285,311,5624
04.08.2024 09:00:00,3207,316,327,4795
04.08.2024 10:00:00,3325,323,34,4216
04.08.2024 11:00:00,3441,341,351,3995
04.08.2024 12:00:00,348,345,351,3919
04.08.2024 13:00:00,3524,35,354,3718
04.08.2024 14:00:00,3521,346,357,3693
04.08.2024 15:00:00,3408,335,348,3894
04.08.2024 16:00:00,3329,329,335,3545
04.08.2024 17:00:00,313,307,325,3809
04.08.2024 18:00:00,2908,278,305,4276
04.08.2024 19:00:00,2638,259,275,5214
04.08.2024 20:00:00,2497,24,258,5698
04.08.2024 21:00:00,2321,226,238,644
04.08.2024 22:00:00,2197,217,224,7035
05.08.2024 00:00:00,2144,213,218,7266
05.08.2024 01:00:00,2091,207,213,7505
05.08.2024 02:00:00,2075,206,208,7476
05.08.2024 03:00:00,206,205,207,7325
05.08.2024 04:00:00,2061,203,209,7006
05.08.2024 05:00:00,2015,197,203,7048
05.08.2024 06:00:00,1985,195,202,6994
05.08.2024 07:00:00,1997,198,204,7004
05.08.2024 08:00:00,227,207,248,6024
05.08.2024 09:00:00,2693,252,289,4713
05.08.2024 10:00:00,3105,294,328,4141
05.08.2024 11:00:00,3371,333,343,3789
05.08.2024 12:00:00,3465,343,353,3525
05.08.2024 13:00:00,3541,349,36,3266
05.08.2024 14:00:00,3643,36,369,3082
05.08.2024 15:00:00,3667,363,371,3063
05.08.2024 16:00:00,3585,351,366,354
05.08.2024 17:00:00,3475,34,354,3775
05.08.2024 18:00:00,3352,33,343,3939
05.08.2024 19:00:00,3192,312,328,4323
05.08.2024 20:00:00,2961,281,31,5044
05.08.2024 21:00:00,2699,265,279,6068
05.08.2024 22:00:00,2583,252,264,6684
05.08.2024 23:00:00,2456,242,251,7216
06.08.2024 00:00:00,2416,238,244,7269
06.08.2024 01:00:00,2341,232,236,754
06.08.2024 02:00:00,2285,226,23,7729
06.08.2024 03:00:00,227,223,229,7727
06.08.2024 04:00:00,2188,218,221,8069
06.08.2024 05:00:00,2152,212,217,8223
06.08.2024 06:00:00,2111,21,212,8411
06.08.2024 07:00:00,2159,213,222,8219
06.08.2024 08:00:00,2425,225,263,7305
06.08.2024 09:00:00,2809,265,298,5996
06.08.2024 10:00:00,315,303,331,5304
06.08.2024 11:00:00,3358,334,337,4648
06.08.2024 12:00:00,346,337,352,4413
06.08.2024 13:00:00,3571,352,361,4035
06.08.2024 14:00:00,3627,358,369,3662
06.08.2024 15:00:00,3665,359,372,3635
06.08.2024 16:00:00,3603,353,365,3748
06.08.2024 17:00:00,3496,337,354,3821
06.08.2024 18:00:00,3282,308,343,4123
06.08.2024 19:00:00,3013,296,306,4847
06.08.2024 20:00:00,2923,282,297,5135
06.08.2024 21:00:00,2701,265,28,5668
06.08.2024 22:00:00,2605,252,269,5947
06.08.2024 23:00:00,2497,247,253,6405
07.08.2024 00:00:00,2403,233,247,7034
07.08.2024 01:00:00,2302,229,233,7533
07.08.2024 02:00:00,2311,229,233,749
07.08.2024 03:00:00,2278,224,232,7556
07.08.2024 04:00:00,2263,223,229,7661
07.08.2024 05:00:00,2223,218,227,7891
07.08.2024 06:00:00,2207,218,223,8026
07.08.2024 07:00:00,2237,22,229,8086
07.08.2024 08:00:00,2462,231,263,7315
07.08.2024 09:00:00,2823,266,297,6075
07.08.2024 10:00:00,314,301,331,5031
07.08.2024 11:00:00,3388,334,344,4266
07.08.2024 12:00:00,3528,344,365,4038
07.08.2024 13:00:00,3661,354,374,3789
07.08.2024 14:00:00,3515,342,365,4025
07.08.2024 15:00:00,3742,362,381,3686
07.08.2024 16:00:00,3385,328,351,4347
07.08.2024 17:00:00,3213,309,349,4682
07.08.2024 18:00:00,3019,295,308,5228
07.08.2024 19:00:00,2873,282,294,574
07.08.2024 20:00:00,2686,221,282,6271
07.08.2024 21:00:00,197,191,214,9255
07.08.2024 22:00:00,1945,193,195,9814
07.08.2024 23:00:00,193,192,194,9851
08.08.2024 00:00:00,1938,192,197,9639
08.08.2024 01:00:00,1958,191,198,9296
08.08.2024 02:00:00,1906,189,195,947
08.08.2024 03:00:00,1887,187,194,9429
08.08.2024 04:00:00,1835,18,187,9476
08.08.2024 05:00:00,18,178,182,9472
08.08.2024 06:00:00,1786,176,182,9322
08.08.2024 07:00:00,1844,182,19,8877
08.08.2024 08:00:00,2092,192,23,8056
08.08.2024 09:00:00,2478,23,262,681
08.08.2024 10:00:00,2825,263,304,5596
08.08.2024 11:00:00,3058,303,31,4912
08.08.2024 12:00:00,3167,311,32,4577
08.08.2024 13:00:00,3247,319,331,4434
08.08.2024 14:00:00,3363,332,34,4286
08.08.2024 15:00:00,3432,34,349,4032
08.08.2024 16:00:00,3489,346,351,3819
08.08.2024 17:00:00,3464,344,35,3766
08.08.2024 18:00:00,3435,34,347,3906
