DateTime,Media Temperatura,Temperatura Intervallo,Temperatura Intervallo,Media Umidità
DateTime,Media Temperatura,low,high,Media Umidità
30.07.2024 12:00:00,34,336,344,3644
30.07.2024 13:00:00,3432,341,347,3462
30.07.2024 14:00:00,3438,339,348,3443
30.07.2024 15:00:00,339,335,342,355
30.07.2024 16:00:00,3305,328,333,3522
30.07.2024 17:00:00,323,308,331,3442
30.07.2024 18:00:00,2959,28,306,3865
30.07.2024 19:00:00,2741,269,279,4142
30.07.2024 20:00:00,2575,245,268,4554
30.07.2024 21:00:00,2334,223,243,5577
30.07.2024 22:00:00,2163,212,221,6579
30.07.2024 23:00:00,2215,215,229,6521
31.07.2024 00:00:00,2296,226,233,6295
31.07.2024 01:00:00,2149,206,222,6872
31.07.2024 02:00:00,2096,204,217,7026
31.07.2024 03:00:00,203,196,206,7263
31.07.2024 04:00:00,1992,193,203,7478
31.07.2024 05:00:00,2151,201,234,7138
31.07.2024 06:00:00,2528,238,266,5975
31.07.2024 07:00:00,2926,27,315,4956
31.07.2024 08:00:00,3208,316,328,4215
31.07.2024 09:00:00,3315,328,339,3789
31.07.2024 10:00:00,3407,326,351,3633
31.07.2024 11:00:00,3562,352,364,3463
31.07.2024 12:00:00,3634,358,368,3295
31.07.2024 13:00:00,3679,362,374,3259
31.07.2024 14:00:00,3704,365,374,3295
31.07.2024 15:00:00,3746,37,379,3235
31.07.2024 16:00:00,3608,352,371,3464
31.07.2024 17:00:00,3367,319,352,3998
31.07.2024 18:00:00,3084,296,317,4673
31.07.2024 19:00:00,2848,276,294,5262
31.07.2024 20:00:00,2593,253,273,6318
31.07.2024 21:00:00,2357,226,253,7364
31.07.2024 22:00:00,233,228,238,6541
31.07.2024 23:00:00,231,227,238,6096
01.08.2024 00:00:00,2381,231,242,5574
01.08.2024 01:00:00,2288,224,235,5955
01.08.2024 02:00:00,2469,236,254,5412
01.08.2024 03:00:00,2517,248,255,5435
01.08.2024 04:00:00,2442,239,251,5916
01.08.2024 05:00:00,2456,24,258,6253
01.08.2024 06:00:00,2766,262,288,5485
01.08.2024 07:00:00,3094,293,328,4823
01.08.2024 08:00:00,337,328,346,4384
01.08.2024 09:00:00,3431,337,353,4445
01.08.2024 10:00:00,3541,351,358,4252
01.08.2024 11:00:00,3653,357,371,4035
01.08.2024 12:00:00,3816,372,392,349
01.08.2024 13:00:00,3926,387,398,3205
01.08.2024 14:00:00,3935,387,397,3173
01.08.2024 15:00:00,3855,382,388,3307
01.08.2024 16:00:00,3778,366,384,2864
01.08.2024 17:00:00,3553,341,367,243
01.08.2024 18:00:00,3352,326,341,2399
01.08.2024 19:00:00,3135,307,324,2693
01.08.2024 20:00:00,2994,292,307,2988
01.08.2024 21:00:00,2866,282,291,319
01.08.2024 22:00:00,2665,251,283,581
01.08.2024 23:00:00,2492,238,256,7575
02.08.2024 00:00:00,2283,222,236,8457
02.08.2024 01:00:00,2182,215,222,90
02.08.2024 02:00:00,2123,211,215,9275
02.08.2024 03:00:00,2085,204,213,9067
02.08.2024 04:00:00,2035,199,208,8444
02.08.2024 05:00:00,2105,20,231,8868
