DateTime,Media Temperatura,Temperatura Intervallo,Temperatura Intervallo,Media Umidità
DateTime,Media Temperatura,low,high,Media Umidità
05.07.2024 15:00:00,3165,311,322,3708
05.07.2024 16:00:00,3145,31,322,3355
05.07.2024 17:00:00,3166,312,321,3498
05.07.2024 18:00:00,3008,292,308,4239
05.07.2024 19:00:00,2878,265,296,4754
05.07.2024 20:00:00,2426,224,26,5908
05.07.2024 21:00:00,201,186,219,7651
05.07.2024 22:00:00,176,17,184,8761
05.07.2024 23:00:00,1642,16,169,9133
06.07.2024 00:00:00,1544,149,159,92
06.07.2024 01:00:00,1472,146,149,939
06.07.2024 02:00:00,1431,141,145,9522
06.07.2024 03:00:00,1439,141,146,9663
06.07.2024 04:00:00,1411,14,143,9714
06.07.2024 05:00:00,1392,137,14,9767
06.07.2024 06:00:00,1391,136,144,9765
06.07.2024 07:00:00,1553,141,173,9797
06.07.2024 08:00:00,2166,185,243,7996
06.07.2024 09:00:00,2469,226,262,6811
06.07.2024 10:00:00,2708,26,282,5656
06.07.2024 11:00:00,2858,274,299,534
06.07.2024 12:00:00,2834,272,291,5653
06.07.2024 13:00:00,2835,279,289,5636
06.07.2024 14:00:00,2908,285,298,5529
06.07.2024 15:00:00,3005,297,306,4386
06.07.2024 16:00:00,2975,293,302,3975
06.07.2024 17:00:00,2967,292,302,4009
06.07.2024 18:00:00,2864,283,293,4326
06.07.2024 19:00:00,2801,261,289,5172
06.07.2024 20:00:00,2458,235,255,6725
06.07.2024 21:00:00,2225,213,233,7541
06.07.2024 22:00:00,2001,193,21,8578
06.07.2024 23:00:00,1915,189,196,9243
07.07.2024 00:00:00,1952,192,197,9497
07.07.2024 01:00:00,1901,187,196,9583
07.07.2024 02:00:00,2007,197,204,9603
07.07.2024 03:00:00,2025,20,205,9309
07.07.2024 04:00:00,1993,196,201,9172
07.07.2024 05:00:00,1979,196,20,8885
07.07.2024 06:00:00,2078,201,212,8349
07.07.2024 07:00:00,2065,204,208,8595
07.07.2024 08:00:00,2042,20,211,8792
07.07.2024 09:00:00,2221,212,248,8289
07.07.2024 10:00:00,2682,257,276,5763
07.07.2024 11:00:00,2839,269,294,5446
07.07.2024 12:00:00,2961,29,30,5043
07.07.2024 13:00:00,2899,271,302,5158
07.07.2024 14:00:00,2589,25,267,633
07.07.2024 15:00:00,2604,256,267,6324
07.07.2024 16:00:00,2713,254,287,6224
07.07.2024 17:00:00,2528,249,26,6926
07.07.2024 18:00:00,2579,252,265,7024
07.07.2024 19:00:00,2483,242,252,7271
07.07.2024 20:00:00,239,238,241,7809
07.07.2024 21:00:00,2367,235,238,7945
07.07.2024 22:00:00,2291,225,235,8247
07.07.2024 23:00:00,2255,225,226,8565
08.07.2024 00:00:00,2226,218,225,8724
08.07.2024 01:00:00,2124,207,217,9084
08.07.2024 02:00:00,2105,207,213,93
08.07.2024 03:00:00,2026,196,21,933
08.07.2024 04:00:00,1955,193,20,9541
08.07.2024 05:00:00,197,191,201,9656
08.07.2024 06:00:00,1903,187,195,9687
08.07.2024 07:00:00,2027,192,219,9732
08.07.2024 08:00:00,2392,223,25,8741
08.07.2024 09:00:00,2678,251,285,7138
08.07.2024 10:00:00,3005,281,313,5887
08.07.2024 11:00:00,3149,303,329,5208
